Tissue	FPKM.m	SD.m	Enrichment.m	FPKM.f	SD.f	Enrichment.f	M.F	p.value	FPKM.mf	SD.mf	Enrichment.mf
index.html?fbgn=FBgn0263384&tableOut=gene:24:Carcass	0.36	0.31	0.16	0	0	-1	1	n.s.	0.18	0.31	-1
index.html?fbgn=FBgn0263385&tableOut=gene:24:Carcass	0.37	0.47	0.04	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263386&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263388&tableOut=gene:24:Carcass	0.03	0.06	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263389&tableOut=gene:24:Carcass	0.12	0.21	0.04	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263390&tableOut=gene:25:Carcass	10.61	0.58	1.05	15.61	3.73	3.76	0.68	n.s.	3.09	0.7	0.54
index.html?fbgn=FBgn0263391&tableOut=gene:25:Carcass	22.43	2.95	0.83	23.9	3.24	0.9	0.94	n.s.	37.33	4.29	2.01
index.html?fbgn=FBgn0263392&tableOut=gene:25:Carcass	2.32	0.42	0.4	2.23	0.49	1.01	1.04	n.s.	3.5	0.17	1.66
index.html?fbgn=FBgn0263395&tableOut=gene:25:Carcass	4.22	0.3	0.66	4.78	0.58	0.72	0.88	n.s.	2.2	0.34	0.88
index.html?fbgn=FBgn0263396&tableOut=gene:25:Carcass	43	1.94	1.03	54.05	4.78	0.75	0.8	p > 0.05	86.14	10.25	1.66
index.html?fbgn=FBgn0263397&tableOut=gene:25:Carcass	12.3	1.51	0.85	14.09	2.97	2.82	0.87	n.s.	7.96	1.66	1.04
index.html?fbgn=FBgn0263398&tableOut=gene:25:Carcass	13.73	0.34	1.34	13.02	0.42	1.64	1.05	n.s.	8.33	0.09	0.87
index.html?fbgn=FBgn0263399&tableOut=gene:24:Carcass	0.07	0.12	-1	0.05	0.09	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263400&tableOut=gene:24:Carcass	0.15	0.13	-1	0.14	0.08	-1	1	n.s.	0.63	0.71	0.14
index.html?fbgn=FBgn0263401&tableOut=gene:24:Carcass	0.15	0.26	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263402&tableOut=gene:24:Carcass	6.03	1.63	1.09	5.98	0.75	1.83	1.01	n.s.	0.17	0.15	-1
index.html?fbgn=FBgn0263403&tableOut=gene:24:Carcass	0.94	0.2	0.19	0	0	-1	1	p > 0.05	0	0	-1
index.html?fbgn=FBgn0263404&tableOut=gene:24:Carcass	0.24	0.42	0.01	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263405&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263406&tableOut=gene:24:Carcass	2.84	0.56	1.42	1.74	0.59	-1	1.42	n.s.	0.05	0.05	-1
index.html?fbgn=FBgn0263407&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263408&tableOut=gene:24:Carcass	0.42	0.04	-1	0.31	0.11	-1	1	n.s.	0.03	0.05	-1
index.html?fbgn=FBgn0263409&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263410&tableOut=gene:24:Carcass	0.72	0.21	0.17	0	0	-1	1	p > 0.05	0	0	-1
index.html?fbgn=FBgn0263411&tableOut=gene:24:Carcass	0.79	0.44	0.1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263412&tableOut=gene:24:Carcass	1.4	1.91	-1	1.47	0.87	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263413&tableOut=gene:24:Carcass	13.69	6.64	0.65	12.59	4.49	2.33	1.09	n.s.	5.62	1.29	2.81
index.html?fbgn=FBgn0263414&tableOut=gene:24:Carcass	0.18	0.17	-1	0.27	0.25	-1	1	n.s.	0.27	0.34	-1
index.html?fbgn=FBgn0263415&tableOut=gene:24:Carcass	2.43	1.28	1.17	1.57	0.47	-1	1.22	n.s.	2.02	1.61	0.47
index.html?fbgn=FBgn0263441&tableOut=gene:24:Carcass	0.17	0.05	-1	0.13	0.02	-1	1	n.s.	0.02	0.02	-1
index.html?fbgn=FBgn0263442&tableOut=gene:24:Carcass	0.51	0.47	0.07	0.02	0.03	-1	1	n.s.	0.63	0.17	-1
index.html?fbgn=FBgn0263443&tableOut=gene:24:Carcass	0.13	0.12	-1	0	0	-1	1	n.s.	0.14	0.13	-1
index.html?fbgn=FBgn0263444&tableOut=gene:24:Carcass	0.01	0.01	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263445&tableOut=gene:24:Carcass	1.86	0.27	0.36	1.23	0.57	0.35	1	n.s.	0.51	0.03	0.03
index.html?fbgn=FBgn0263446&tableOut=gene:24:Carcass	0.01	0.02	-1	0.01	0.02	-1	1	n.s.	0.09	0.05	-1
index.html?fbgn=FBgn0263447&tableOut=gene:24:Carcass	0.07	0.09	-1	0.01	0.02	-1	1	n.s.	0.16	0.01	-1
index.html?fbgn=FBgn0263448&tableOut=gene:24:Carcass	0.6	0.3	-1	0.11	0.1	-1	1	n.s.	0.12	0.11	0.01
index.html?fbgn=FBgn0263449&tableOut=gene:24:Carcass	0.37	0.22	-1	0.87	0.07	-1	1	p > 0.05	0.42	0.23	-1
index.html?fbgn=FBgn0263451&tableOut=gene:24:Carcass	1.33	0.29	0.23	0.61	0.26	-1	1	p > 0.05	2.19	0.98	0.82
index.html?fbgn=FBgn0263452&tableOut=gene:24:Carcass	0.73	0.13	0.1	0.31	0.17	-1	1	p > 0.05	0.62	0.26	-1
index.html?fbgn=FBgn0263453&tableOut=gene:24:Carcass	0.09	0.1	-1	0.01	0.01	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263454&tableOut=gene:24:Carcass	1.52	0.19	-1	0.69	0.71	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263455&tableOut=gene:24:Carcass	0.31	0.11	-1	0.08	0.02	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263456&tableOut=gene:25:Carcass	2.39	1.03	0.27	1.61	0.86	0.71	1.2	n.s.	0.38	0.1	-1
index.html?fbgn=FBgn0263457&tableOut=gene:24:Carcass	0.87	0.29	-1	0.87	0.25	-1	1	n.s.	1.36	0.33	-1
index.html?fbgn=FBgn0263458&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263459&tableOut=gene:24:Carcass	101.77	43.51	0.31	174.11	59.87	0.41	0.58	n.s.	257.84	48.87	0.48
index.html?fbgn=FBgn0263460&tableOut=gene:24:Carcass	41.47	31.3	2.65	70.31	6.02	0.65	0.59	n.s.	122.04	44.25	4.11
index.html?fbgn=FBgn0263461&tableOut=gene:24:Carcass	149.51	72.86	1.11	131.06	31.54	0.69	1.14	n.s.	58.2	28.32	0.69
index.html?fbgn=FBgn0263462&tableOut=gene:24:Carcass	1207.6	523.63	0.67	999.29	378.3	0.17	1.21	n.s.	1821.77	359.14	0.95
index.html?fbgn=FBgn0263463&tableOut=gene:24:Carcass	5.31	1.95	0.3	9.84	0.88	0.3	0.54	p > 0.05	19.54	4.01	0.53
index.html?fbgn=FBgn0263464&tableOut=gene:24:Carcass	15.77	17.38	0.6	12.27	3.06	6.13	1.29	n.s.	16.03	18.53	1.41
index.html?fbgn=FBgn0263465&tableOut=gene:24:Carcass	459.37	284.62	229.69	264.95	39.08	132.47	1.73	n.s.	0	0	0
index.html?fbgn=FBgn0263466&tableOut=gene:24:Carcass	126.76	84.01	2.02	123.72	27.84	1.28	1.02	n.s.	48.55	22.19	0.65
index.html?fbgn=FBgn0263467&tableOut=gene:24:Carcass	16.93	29.32	8.46	0	0	-1	8.5	n.s.	0	0	-1
index.html?fbgn=FBgn0263468&tableOut=gene:24:Carcass	1977.94	507.59	0.4	2245.16	420.64	0.38	0.88	n.s.	1076.19	360.08	0.7
index.html?fbgn=FBgn0263469&tableOut=gene:24:Carcass	337.75	73.36	1.04	328.61	71.34	0.59	1.03	n.s.	181.23	40.47	0.86
index.html?fbgn=FBgn0263470&tableOut=gene:24:Carcass	2520.67	546.72	1.87	3574.72	335.01	2.54	0.71	n.s.	4022.74	284.21	1.16
index.html?fbgn=FBgn0263471&tableOut=gene:25:Carcass	851.83	207.6	0.48	897.09	67	0.32	0.95	n.s.	464.7	80.48	1.62
index.html?fbgn=FBgn0263472&tableOut=gene:24:Carcass	42.38	15.81	9.97	75.51	28.86	1.18	0.56	n.s.	69.5	13.65	1.07
index.html?fbgn=FBgn0263473&tableOut=gene:24:Carcass	17.27	2.93	0.54	8.19	9.55	4.09	2.1	n.s.	152.19	27.76	6.5
index.html?fbgn=FBgn0263474&tableOut=gene:25:Carcass	1790.31	"1,170.93"	0.92	1669.37	314.05	0.54	1.07	n.s.	842.42	345.25	0.83
index.html?fbgn=FBgn0263475&tableOut=gene:24:Carcass	35.85	32.99	1.84	30.9	14.53	1.1	1.16	n.s.	40.2	3.56	0.85
index.html?fbgn=FBgn0263476&tableOut=gene:24:Carcass	437.73	109.62	0.74	428.63	55.56	0.56	1.02	n.s.	194.15	41.43	0.67
index.html?fbgn=FBgn0263477&tableOut=gene:25:Carcass	233.2	89.51	1.02	171.38	58.64	0.58	1.36	n.s.	112.59	56.05	0.65
index.html?fbgn=FBgn0263478&tableOut=gene:24:Carcass	1.55	2.68	0.22	3.77	3.99	0.45	0.53	n.s.	7.4	7.92	2.78
index.html?fbgn=FBgn0263479&tableOut=gene:25:Carcass	4.07	7.04	2.04	0.91	1.57	0.13	2	n.s.	13.2	11.64	2.13
index.html?fbgn=FBgn0263480&tableOut=gene:24:Carcass	105.3	46.58	1.69	117.93	36.7	0.9	0.89	n.s.	45.24	31.51	0.81
index.html?fbgn=FBgn0263481&tableOut=gene:24:Carcass	107.69	53.35	1.11	109.64	37.55	0.31	0.98	n.s.	133.72	4.77	1.17
index.html?fbgn=FBgn0263482&tableOut=gene:24:Carcass	43.4	17.31	2.79	43.07	14.85	3.96	1.01	n.s.	14.2	9.78	2.59
index.html?fbgn=FBgn0263483&tableOut=gene:24:Carcass	53.84	21.03	0.54	42.06	5.69	0.48	1.28	n.s.	27.29	38.71	1.33
index.html?fbgn=FBgn0263484&tableOut=gene:24:Carcass	533.81	217.16	0.85	514.76	49.5	0.7	1.04	n.s.	118.05	18.52	0.91
index.html?fbgn=FBgn0263485&tableOut=gene:25:Carcass	92.79	51.67	0.56	107.76	23.81	0.3	0.86	n.s.	152.62	83.27	0.8
index.html?fbgn=FBgn0263486&tableOut=gene:25:Carcass	19.59	4.26	1.21	22.55	14.32	1.32	0.87	n.s.	45.89	33.72	1.33
index.html?fbgn=FBgn0263487&tableOut=gene:25:Carcass	341.68	122.18	0.72	359.3	28.14	0.49	0.95	n.s.	256.93	25.53	1.24
index.html?fbgn=FBgn0263488&tableOut=gene:24:Carcass	419.11	168.51	0.28	623.01	58.84	0.25	0.67	n.s.	472.35	58.78	1.16
index.html?fbgn=FBgn0263489&tableOut=gene:24:Carcass	94.76	42.75	0.79	79.84	0.7	0.67	1.19	n.s.	79.86	24.35	0.88
index.html?fbgn=FBgn0263490&tableOut=gene:25:Carcass	3.68	0.76	0.77	4.31	0.36	0.49	0.85	n.s.	1.89	0.11	-1
index.html?fbgn=FBgn0263492&tableOut=gene:24:Carcass	0.49	0.08	-1	0.47	0.03	-1	1	n.s.	1.94	0.44	0.35
index.html?fbgn=FBgn0263493&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263494&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263495&tableOut=gene:24:Carcass	0.22	0.26	0.06	0.04	0.08	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263496&tableOut=gene:24:Carcass	0.39	0.34	0.09	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263497&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263498&tableOut=gene:24:Carcass	0.54	0.58	0.25	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263499&tableOut=gene:24:Carcass	0.14	0.17	-1	0.22	0.02	-1	1	n.s.	0.17	0.04	-1
index.html?fbgn=FBgn0263500&tableOut=gene:24:Carcass	1.09	0.83	0.32	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263501&tableOut=gene:24:Carcass	0.1	0.09	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263502&tableOut=gene:24:Carcass	0.57	0.25	0.14	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263503&tableOut=gene:24:Carcass	0.14	0.13	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263504&tableOut=gene:24:Carcass	1.43	0.5	-1	2.01	0.11	1	1	n.s.	2.36	0.44	0.7
index.html?fbgn=FBgn0263505&tableOut=gene:24:Carcass	0.11	0.19	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263506&tableOut=gene:24:Carcass	0.32	0.16	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263507&tableOut=gene:24:Carcass	2.5	0.24	1	3.31	0.31	1.48	0.76	p > 0.05	4.33	0.16	1.68
index.html?fbgn=FBgn0263509&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263510&tableOut=gene:25:Carcass	5.74	0.68	1.2	12.8	1.54	1.13	0.45	p > 0.01	6.97	0.31	0.95
index.html?fbgn=FBgn0263511&tableOut=gene:25:Carcass	0.03	0.02	-1	0.06	0.02	-1	1	n.s.	0.08	0.06	-1
index.html?fbgn=FBgn0263512&tableOut=gene:25:Carcass	0.02	0.02	-1	0.03	0.02	-1	1	n.s.	0.02	0.02	-1
index.html?fbgn=FBgn0263581&tableOut=gene:24:Carcass	0.33	0.11	-1	0.34	0.03	-1	1	n.s.	0.13	0.14	-1
index.html?fbgn=FBgn0263582&tableOut=gene:24:Carcass	0.67	0.08	-1	0.17	0.18	-1	1	p > 0.05	0.16	0.06	-1
index.html?fbgn=FBgn0263583&tableOut=gene:24:Carcass	0.39	0.38	0.16	0.02	0.04	-1	1	n.s.	0.04	0.06	-1
index.html?fbgn=FBgn0263584&tableOut=gene:24:Carcass	0.6	0.36	-1	0.61	0.14	-1	1	n.s.	0.75	0.21	-1
index.html?fbgn=FBgn0263585&tableOut=gene:24:Carcass	2.1	1.82	0.06	0	0	-1	1.05	n.s.	0	0	-1
index.html?fbgn=FBgn0263586&tableOut=gene:24:Carcass	4.61	1.29	2.31	3.2	1.87	1.6	1.44	n.s.	0	0	-1
index.html?fbgn=FBgn0263587&tableOut=gene:24:Carcass	0.61	0.48	0.16	0.32	0.1	-1	1	n.s.	0.27	0.16	-1
index.html?fbgn=FBgn0263588&tableOut=gene:24:Carcass	0.09	0.16	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263589&tableOut=gene:24:Carcass	3.83	0.41	1.92	3.62	0.8	1.81	1.06	n.s.	3.01	0.31	1.5
index.html?fbgn=FBgn0263590&tableOut=gene:24:Carcass	0.02	0.04	-1	2.53	3.34	0.06	0.79	n.s.	0	0	-1
index.html?fbgn=FBgn0263593&tableOut=gene:25:Carcass	28.36	5.58	1.22	28.14	4.84	2.35	1.01	n.s.	4.29	0.47	0.32
index.html?fbgn=FBgn0263594&tableOut=gene:25:Carcass	105.36	15.85	1.37	128.36	18.26	0.92	0.82	n.s.	128.9	2.6	1.59
index.html?fbgn=FBgn0263595&tableOut=gene:24:Carcass	0.03	0.06	-1	0.01	0.02	-1	1	n.s.	0.17	0.1	-1
index.html?fbgn=FBgn0263596&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263597&tableOut=gene:25:Carcass	946.46	441.26	0.02	1.55	1.76	0.08	473	n.s.	0	0	0
index.html?fbgn=FBgn0263598&tableOut=gene:25:Carcass	44.8	7.91	0.57	53.18	1.42	0.65	0.84	n.s.	47.92	5.08	0.43
index.html?fbgn=FBgn0263599&tableOut=gene:25:Carcass	6.1	0.97	0.92	8.39	0.3	0.71	0.73	p > 0.05	9.03	0.28	1.51
index.html?fbgn=FBgn0263600&tableOut=gene:25:Carcass	1.58	0.3	-1	2.97	1.29	0.28	0.67	n.s.	3.41	0.16	1.71
index.html?fbgn=FBgn0263601&tableOut=gene:25:Carcass	8.87	1.28	1.13	5.84	0.3	0.77	1.52	p > 0.05	4.79	0.19	1.01
index.html?fbgn=FBgn0263602&tableOut=gene:25:Carcass	1.96	0.13	0.71	2.47	0.57	0.37	0.81	n.s.	2.16	0.14	1.08
index.html?fbgn=FBgn0263603&tableOut=gene:25:Carcass	5.85	0.94	0.64	6.56	0.61	0.69	0.89	n.s.	6.1	0.4	1.13
index.html?fbgn=FBgn0263605&tableOut=gene:25:Carcass	2.38	0.24	1.19	6.06	1.59	0.64	0.39	n.s.	3.93	0.24	1.34
index.html?fbgn=FBgn0263606&tableOut=gene:25:Carcass	6.53	0.3	1.57	6.1	1.46	1.54	1.07	n.s.	4.08	0.66	0.87
index.html?fbgn=FBgn0263607&tableOut=gene:25:Carcass	11.42	1.26	1.65	7.93	1.44	2.49	1.44	p > 0.05	2.6	0.7	0.62
index.html?fbgn=FBgn0263608&tableOut=gene:25:Carcass	1.93	0.48	0.72	1.15	0.09	-1	1	n.s.	5.87	0.4	2.94
index.html?fbgn=FBgn0263611&tableOut=gene:24:Carcass	0.54	0.15	0.23	0.03	0.05	-1	1	p > 0.05	0.5	0.62	-1
index.html?fbgn=FBgn0263612&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263613&tableOut=gene:24:Carcass	0.05	0.09	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263615&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263616&tableOut=gene:24:Carcass	0.11	0.1	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263617&tableOut=gene:24:Carcass	0.23	0.13	-1	0.36	0.1	-1	1	n.s.	12.29	1.82	0.83
index.html?fbgn=FBgn0263618&tableOut=gene:24:Carcass	0.23	0.32	0.11	0.02	0.04	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263619&tableOut=gene:24:Carcass	2.12	0.4	0.82	3.08	0.54	0.79	0.69	n.s.	3.14	0.06	0.83
index.html?fbgn=FBgn0263620&tableOut=gene:24:Carcass	1.62	0.44	0.65	1.3	0.65	-1	1	n.s.	1.11	0.2	-1
index.html?fbgn=FBgn0263621&tableOut=gene:24:Carcass	232.75	29.38	1.21	144.45	6.49	2.06	1.61	p > 0.05	4.09	1.06	2.04
index.html?fbgn=FBgn0263622&tableOut=gene:24:Carcass	0.02	0.04	-1	0.02	0.03	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263623&tableOut=gene:24:Carcass	0.19	0.11	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263624&tableOut=gene:24:Carcass	6.21	3.54	0.11	0	0	-1	3.1	n.s.	0	0	-1
index.html?fbgn=FBgn0263625&tableOut=gene:24:Carcass	10.89	5.69	0.04	0	0	-1	5.4	n.s.	0	0	-1
index.html?fbgn=FBgn0263626&tableOut=gene:24:Carcass	0.06	0.06	-1	0.07	0.08	-1	1	n.s.	0.25	0.16	-1
index.html?fbgn=FBgn0263627&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263628&tableOut=gene:24:Carcass	1.8	0.18	0.46	1.58	0.22	-1	1	n.s.	0.21	0.2	0.08
index.html?fbgn=FBgn0263647&tableOut=gene:24:Carcass	4.97	3.37	0.09	0.11	0.16	-1	2.5	n.s.	0.37	0.33	0.13
index.html?fbgn=FBgn0263648&tableOut=gene:24:Carcass	0.45	0.27	0.14	0.07	0.12	-1	1	n.s.	0.07	0.12	-1
index.html?fbgn=FBgn0263649&tableOut=gene:24:Carcass	0.1	0.04	-1	0.03	0.03	-1	1	n.s.	0.08	0.09	-1
index.html?fbgn=FBgn0263650&tableOut=gene:24:Carcass	1	0.77	0.45	0.71	0.3	-1	1	n.s.	0.28	0.15	-1
index.html?fbgn=FBgn0263651&tableOut=gene:24:Carcass	0.03	0.05	-1	0.02	0.03	-1	1	n.s.	0.08	0.07	-1
index.html?fbgn=FBgn0263652&tableOut=gene:24:Carcass	0.02	0.03	-1	0	0	-1	1	n.s.	0.02	0.03	-1
index.html?fbgn=FBgn0263653&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263654&tableOut=gene:24:Carcass	0.64	1.1	-1	0.41	0.7	-1	1	n.s.	1.09	1.89	-1
index.html?fbgn=FBgn0263655&tableOut=gene:24:Carcass	0.71	0.33	-1	0.72	0.47	-1	1	n.s.	4.26	2.13	2.13
index.html?fbgn=FBgn0263656&tableOut=gene:24:Carcass	0.27	0.24	-1	0.19	0.16	-1	1	n.s.	0.8	0.88	-1
index.html?fbgn=FBgn0263657&tableOut=gene:24:Carcass	0	0	0	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263658&tableOut=gene:24:Carcass	0.14	0.19	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263659&tableOut=gene:24:Carcass	11.55	3.34	2.05	10.91	2.64	5.46	1.06	n.s.	3.34	0.34	1.67
index.html?fbgn=FBgn0263660&tableOut=gene:24:Carcass	16.45	1.11	1.51	14.13	3.04	2.17	1.16	n.s.	7.58	2.45	2.09
index.html?fbgn=FBgn0263661&tableOut=gene:24:Carcass	0.06	0.03	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263662&tableOut=gene:24:Carcass	0.49	0.15	-1	0.52	0.18	-1	1	n.s.	0.15	0.03	-1
index.html?fbgn=FBgn0263663&tableOut=gene:24:Carcass	0.63	0.09	0.2	0.49	0.16	-1	1	n.s.	0.68	0.04	-1
index.html?fbgn=FBgn0263664&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263665&tableOut=gene:24:Carcass	0.22	0.11	-1	0.04	0.04	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263667&tableOut=gene:25:Carcass	2.29	0.28	0.79	2.56	0.02	0.7	0.89	n.s.	1.51	0.08	-1
index.html?fbgn=FBgn0263697&tableOut=gene:25:Carcass	6.84	0.57	1.36	6.29	0.95	0.58	1.09	n.s.	6.13	0.67	1.06
index.html?fbgn=FBgn0263705&tableOut=gene:25:Carcass	1.53	0.08	0.59	1.7	0.39	-1	1	n.s.	2.52	0.18	1.26
index.html?fbgn=FBgn0263706&tableOut=gene:24:Carcass	7.18	0.55	0.79	6.37	0.93	0.91	1.13	n.s.	3.08	0.35	1.51
index.html?fbgn=FBgn0263707&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263708&tableOut=gene:24:Carcass	0.33	0.5	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263709&tableOut=gene:24:Carcass	0.38	0.16	-1	0.06	0.1	-1	1	n.s.	0.99	0.96	-1
index.html?fbgn=FBgn0263738&tableOut=gene:25:Carcass	1.24	0.4	-1	1.6	0.12	-1	1	n.s.	1.74	0.31	-1
index.html?fbgn=FBgn0263740&tableOut=gene:25:Carcass	27.32	2.13	1.5	43.37	2.38	1.1	0.63	p > 0.01	41.95	1.83	1.24
index.html?fbgn=FBgn0263741&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0.84	0.39	-1
index.html?fbgn=FBgn0263742&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0.04	0.08	-1
index.html?fbgn=FBgn0263743&tableOut=gene:24:Carcass	0.17	0.1	-1	0	0	-1	1	n.s.	1.59	1.55	-1
index.html?fbgn=FBgn0263744&tableOut=gene:24:Carcass	0.17	0.07	-1	0.08	0.08	-1	1	n.s.	0.08	0.13	-1
index.html?fbgn=FBgn0263745&tableOut=gene:24:Carcass	1	0.1	-1	0.98	0.25	-1	1	n.s.	1.02	0.06	-1
index.html?fbgn=FBgn0263746&tableOut=gene:24:Carcass	0.39	0.11	-1	0.34	0.15	-1	1	n.s.	0.2	0.08	-1
index.html?fbgn=FBgn0263747&tableOut=gene:24:Carcass	0.17	0.03	-1	0.33	0.17	-1	1	n.s.	0.16	0.08	-1
index.html?fbgn=FBgn0263748&tableOut=gene:24:Carcass	14.77	12.68	1.41	36.23	29.48	2.88	0.41	n.s.	0.02	0.04	-1
index.html?fbgn=FBgn0263750&tableOut=gene:24:Carcass	3.39	0.6	0.13	2.65	0.58	1.32	1.28	n.s.	1.54	0.3	-1
index.html?fbgn=FBgn0263755&tableOut=gene:25:Carcass	0.76	0.13	-1	2.11	0.7	0.58	0.95	n.s.	2.5	0.26	1.25
index.html?fbgn=FBgn0263757&tableOut=gene:25:Carcass	2.97	0.72	0.74	3.38	1.52	0.28	0.88	n.s.	4.82	0.73	0.96
index.html?fbgn=FBgn0263760&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263761&tableOut=gene:24:Carcass	7.01	1.53	0.39	3.43	1.18	1.62	2	p > 0.05	2.43	2.12	1.05
index.html?fbgn=FBgn0263762&tableOut=gene:24:Carcass	339.23	41.76	1.2	356.2	121.74	3.57	0.95	n.s.	8.56	8.77	0.03
index.html?fbgn=FBgn0263763&tableOut=gene:24:Carcass	111.36	12.67	0.78	237.74	34.61	2.39	0.47	p > 0.05	0	0	-1
index.html?fbgn=FBgn0263764&tableOut=gene:24:Carcass	0.01	0.01	-1	0	0	-1	1	n.s.	0.02	0.03	-1
index.html?fbgn=FBgn0263765&tableOut=gene:24:Carcass	0	0	-1	0.02	0.03	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263766&tableOut=gene:24:Carcass	8.89	0.03	1.15	7.85	0.34	1.7	1.13	p > 0.05	4.08	0.6	0.54
index.html?fbgn=FBgn0263767&tableOut=gene:24:Carcass	12.98	9.78	0.04	0.07	0.13	-1	6.5	n.s.	0.23	0.39	-1
index.html?fbgn=FBgn0263768&tableOut=gene:24:Carcass	2.84	0.37	1.12	4.07	0.93	0.7	0.7	n.s.	4.32	0.27	1.33
index.html?fbgn=FBgn0263769&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263770&tableOut=gene:24:Carcass	0.17	0.15	-1	0.05	0.08	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263771&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0263772&tableOut=gene:24:Carcass	0.09	0.04	-1	0.12	0.08	-1	1	n.s.	0.1	0.03	-1
index.html?fbgn=FBgn0263773&tableOut=gene:25:Carcass	82.9	8.57	1.04	57.14	1.56	1.23	1.45	p > 0.05	42.58	4.26	0.56
index.html?fbgn=FBgn0263774&tableOut=gene:24:Carcass	0.19	0.07	-1	0.01	0.01	-1	1	p > 0.05	0	0	-1
